s,match_i,ed,ed_dot,efai,efai_dot,project_curv,ego_x,ego_y
16.8597,169,-0.00729148,-0.0942982,-0.0272364,-0.22618,0.0304215,29.048,185.095
17.2065,172,-0.000142831,-0.0871341,-0.0250301,-0.233519,0.0304215,28.7035,185.135
17.2065,172,-0.000142831,-0.0871341,-0.0250301,-0.233519,0.0304215,28.7035,185.135
17.5569,176,0.00813681,-0.0799579,-0.0226841,-0.2365,0.0304215,28.355,185.172
17.5569,176,0.00813681,-0.0799579,-0.0226841,-0.2365,0.0304215,28.355,185.172
17.9122,179,0.0171394,-0.0731235,-0.0204479,-0.238303,0.0304215,28.0012,185.204
17.9122,179,0.0171394,-0.0731235,-0.0204479,-0.238303,0.0304215,28.0012,185.204
18.2708,183,0.0267832,-0.0657579,-0.0183959,-0.236089,0.0304215,27.6438,185.232
18.2708,183,0.0267832,-0.0657579,-0.0183959,-0.236089,0.0304215,27.6438,185.232
18.6254,186,0.0367933,-0.0584422,-0.0165503,-0.231519,0.0304215,27.2902,185.256
18.6254,186,0.0367933,-0.0584422,-0.0165503,-0.231519,0.0304215,27.2902,185.256
18.9795,190,0.047127,-0.0528781,-0.0148985,-0.23085,0.0304215,26.9369,185.275
18.9795,190,0.047127,-0.0528781,-0.0148985,-0.23085,0.0304215,26.9369,185.275
19.337,193,0.0578532,-0.0483017,-0.0134482,-0.231461,0.0304215,26.5801,185.291
19.337,193,0.0578532,-0.0483017,-0.0134482,-0.231461,0.0304215,26.5801,185.291
19.6995,197,0.0688673,-0.0444985,-0.0122193,-0.232461,0.0304215,26.2184,185.303
19.6995,197,0.0688673,-0.0444985,-0.0122193,-0.232461,0.0304215,26.2184,185.303
20.0652,201,0.0801625,-0.0406639,-0.011177,-0.230318,0.0304215,25.8536,185.31
20.0652,201,0.0801625,-0.0406639,-0.011177,-0.230318,0.0304215,25.8536,185.31
20.4265,204,0.0914988,-0.0369026,-0.0102706,-0.226449,0.0304215,25.4928,185.313
20.4265,204,0.0914988,-0.0369026,-0.0102706,-0.226449,0.0304215,25.4928,185.313
20.7874,208,0.102966,-0.034229,-0.0094823,-0.226483,0.0304215,25.1329,185.312
20.7874,208,0.102966,-0.034229,-0.0094823,-0.226483,0.0304215,25.1329,185.312
21.1517,212,0.114655,-0.0321808,-0.00881431,-0.227922,0.0304215,24.7698,185.307
21.1517,212,0.114655,-0.0321808,-0.00881431,-0.227922,0.0304215,24.7698,185.307
21.5203,215,0.126493,-0.0305564,-0.00825915,-0.229787,0.0304215,24.4022,185.298
21.5203,215,0.126493,-0.0305564,-0.00825915,-0.229787,0.0304215,24.4022,185.298
21.8924,219,0.138504,-0.028878,-0.00781676,-0.228367,0.0304215,24.0318,185.285
21.8924,219,0.138504,-0.028878,-0.00781676,-0.228367,0.0304215,24.0318,185.285
22.2603,223,0.150519,-0.0271338,-0.00743838,-0.225232,0.0304215,23.666,185.267
22.2603,223,0.150519,-0.0271338,-0.00743838,-0.225232,0.0304215,23.666,185.267
22.6268,226,0.16248,-0.0259626,-0.00708701,-0.225825,0.0304215,23.3013,185.245
22.6268,226,0.16248,-0.0259626,-0.00708701,-0.225825,0.0304215,23.3013,185.245
22.9971,230,0.174618,-0.0252203,-0.00680994,-0.227799,0.0304215,22.9338,185.219
22.9971,230,0.174618,-0.0252203,-0.00680994,-0.227799,0.0304215,22.9338,185.219
23.372,234,0.186915,-0.0247631,-0.00660165,-0.230167,0.0304215,22.5621,185.189
23.372,234,0.186915,-0.0247631,-0.00660165,-0.230167,0.0304215,22.5621,185.189
23.7492,237,0.19935,-0.0240761,-0.0064304,-0.229089,0.0304215,22.1881,185.154
