x_refer,y_refer,x_leftEdge,y_leftEdge,x_rightEdge,y_rightEdge
38.425,183.235,37.7868823712186,180.099433410672,39.0624348997752,186.371033345848
38.327,183.255,37.6888886222315,180.119363918931,38.964441150788,186.390963854107
38.229,183.275,37.5908948732444,180.13929442719,38.8664474018009,186.410894362365
38.131,183.295,37.4929011242573,180.159224935449,38.7684536528138,186.430824870624
38.033,183.315,37.3949073752701,180.179155443707,38.6704599038267,186.450755378883
37.935,183.335,37.296913626283,180.199085951966,38.5724661548396,186.470685887141
37.837,183.355,37.1989198772959,180.219016460225,38.4744724058525,186.4906163954
37.739,183.375,37.1009261283088,180.238946968483,38.3764786568653,186.510546903659
37.641,183.395,37.0029323793217,180.258877476742,38.2784849078782,186.530477411917
37.543,183.415,36.9049386303346,180.278807985001,38.1804911588911,186.550407920176
