s,match_i,ed,ed_dot,efai,efai_dot,project_curv,ego_x,ego_y
13.1029,131,-0.00408534,-0.000629229,-0.000188242,0.0014169,0,32.739,184.396
13.4349,134,-0.00410801,-0.000551638,-0.000166937,0.0018132,0,32.4137,184.462
13.4349,134,-0.00410801,-0.000551638,-0.000166937,0.0018132,0,32.4137,184.462
13.7667,138,-0.00412079,-0.000509095,-0.000152822,0.00179985,0,32.0885,184.528
13.7667,138,-0.00412079,-0.000509095,-0.000152822,0.00179985,0,32.0885,184.528
14.1024,141,-0.00420861,-0.00047794,-0.000141637,0.00175444,0,31.7596,184.595
14.1024,141,-0.00420861,-0.00047794,-0.000141637,0.00175444,0,31.7596,184.595
14.4432,144,-0.00427554,-0.000456342,-0.000133115,0.0017266,0,31.4256,184.663
14.4432,144,-0.00427554,-0.000456342,-0.000133115,0.0017266,0,31.4256,184.663
14.7876,148,-0.00427101,-0.00042401,-0.000123528,0.00148114,0,31.0881,184.732
14.7876,148,-0.00427101,-0.00042401,-0.000123528,0.00148114,0,31.0881,184.732
15.1284,151,-0.00462079,-0.0160939,-0.00474237,-0.101434,0.0304215,30.7542,184.8
15.1284,151,-0.00462079,-0.0160939,-0.00474237,-0.101434,0.0304215,30.7542,184.8
15.4687,155,-0.00795001,-0.0515128,-0.0150865,-0.102064,0.0304215,30.4206,184.868
15.4687,155,-0.00795001,-0.0515128,-0.0150865,-0.102064,0.0304215,30.4206,184.868
15.8126,158,-0.0149011,-0.088365,-0.0255428,-0.103441,0.0304215,30.0834,184.936
15.8126,158,-0.0149011,-0.088365,-0.0255428,-0.103441,0.0304215,30.0834,184.936
16.161,162,-0.016903,-0.103116,-0.0294131,-0.200601,0.0304215,29.7402,184.997
16.161,162,-0.016903,-0.103116,-0.0294131,-0.200601,0.0304215,29.7402,184.997
16.5124,165,-0.013944,-0.10321,-0.0294437,-0.214016,0.0304215,29.3926,185.05
16.5124,165,-0.013944,-0.10321,-0.0294437,-0.214016,0.0304215,29.3926,185.05
